id,train1,test1,train2,test2,test1_object1,test1_object1_confidence,test1_object2,test1_object2_confidence,test1_memCheck1,test1_memCheck1_confidence,test1_memCheck2,test1_memCheck2_confidence,test1_memCheck_base,test1_memCheck_base_confidence,test1_memCheck_feature,test1_memCheck_feature_confidence,distractor_output,test2_object1,test2_object1_confidence,test2_object2,test2_object2_confidence,test2_memCheck1,test2_memCheck1_confidence,test2_memCheck2,test2_memCheck2_confidence,test2_memCheck3,test2_memCheck3_confidence,test2_memCheck4,test2_memCheck4_confidence,test2_memCheck_base,test2_memCheck_base_confidence,test2_memCheck_feature,test2_memCheck_feature_confidence,open-ended definition
1,1A,PD,1Aa,PT,yes,60,yes,55,2,90,1,90,1,95,2,40,"ORDER: 3,2,3,3,4,2,4,4,2

R,R,1,0;L,L,1,0;Y,Y,1,0;
S,T,0,1;F,F,1,0;Q,Q,1,1;
K,K,1,1;J,J,1,1;J,J,1,1;
Q,Q,1,1;S,S,1,1;
R,Q,0,1;S,R,0,0;F,F,1,0;
J,J,1,1;N,N,1,1;Q,Q,1,1;
H,H,1,1;S,N,0,1;J,J,1,1;S,S,1,1;
J,J,1,1;N,N,1,1;
T,T,1,0;Q,Q,1,1;Q,Q,1,1;F,F,1,1;
H,H,1,1;R,R,1,1;L,L,1,1;T,T,1,1;
J,J,1,1;J,J,1,1;

RESULTS: n=27, acc=89%, PU=0.90, PL=0.89, FU=0.78, FL=0.74",no,60,no,60,1,90,2,90,3,90,4,90,1,90,2,70,
2,1B,PD,1Ab,PT,no,60,yes,80,1,80,2,80,2,80,2,80,"ORDER: 4,4,3,2,3,3,4,2,2

F,F,1,0;K,K,1,0;J,J,1,0;
T,T,1,1;S,S,1,1;Y,Y,1,1;
H,H,1,1;T,T,1,1;P,P,1,1;J,J,1,1;
Y,Y,1,0;F,F,1,1;T,T,1,1;P,P,1,1;
J,J,1,1;P,P,1,1;Y,Y,1,1;
Y,Y,1,1;J,J,1,1;
T,T,1,1;J,J,1,0;T,T,1,1;
J,J,1,1;T,T,1,1;J,J,1,1;
J,J,1,0;T,T,1,1;P,P,1,1;K,K,1,0;
F,J,0,1;N,N,1,0;
Y,Y,1,1;L,L,1,1;

RESULTS: n=27, acc=81%, PU=0.94, PL=0.96, FU=0.89, FL=0.93",yes,60,no,80,1,50,2,50,4,50,3,50,2,80,3,50,
3,1C,PD,1Ac,PT,yes,50,yes,50,1,70,2,70,1,99,2,70,"ORDER: 3,2,2,4,2,4,3,3,4

Y,Y,1,0;S,S,1,0;H,H,1,0;
L,L,1,1;S,S,1,1;J,J,1,1;
J,J,1,1;S,S,1,1;R,R,1,1;
P,J,0,1;N,R,0,1;
P,P,1,1;H,H,1,0;
R,R,1,1;R,R,1,1;L,H,0,1;P,P,1,1;
H,H,1,1;Y,Y,1,1;
L,L,1,1;L,H,0,1;T,T,1,1;J,J,1,1;
S,S,1,1;P,P,1,1;K,K,1,0;
Q,P,0,0;P,Q,0,1;K,K,1,1;
Q,Q,1,1;P,P,1,1;N,N,1,1;F,F,1,1;

RESULTS: n=27, acc=89%, PU=0.76, PL=0.78, FU=0.56, FL=0.52",yes,60,no,90,3,99,1,99,4,99,2,99,1,99,1,99,
4,1D,PD,1Ad,PT,no,95,yes,95,2,100,1,100,both,65,both,50,"ORDER: 3,4,2,2,2,4,3,3,4

F,F,1,0;J,J,1,0;P,P,1,0;
L,L,1,1;R,R,1,1;Y,Y,1,1;
R,R,1,1;L,L,1,1;R,R,1,1;
K,K,1,1;T,T,1,1;K,K,1,1;P,P,1,1;
H,H,1,1;H,H,1,0;
L,L,1,1;F,F,1,0;
P,F,0,0;R,R,1,1;
Q,Q,1,1;S,S,1,1;S,S,1,1;Q,Q,1,1;
J,J,1,1;K,K,1,1;Q,Q,1,1;
S,S,1,1;F,F,1,1;J,J,1,1;
S,S,1,1;T,T,1,1;F,F,1,1;R,R,1,1;

RESULTS: n=27, acc=89%, PU=0.94, PL=0.96, FU=0.89, FL=0.93",yes,70,no,99,4,100,3,100,2,100,1,100,1,100,1,100,"""the object or shape that is inside the object"""
5,1A,YC,1Ba,PT,no,75,no,60,2,100,1,100,1,100,1,100,"ORDER: 3,2,2,4,4,4,2,3,3

N,N,1,0;R,R,1,0;L,L,1,0;
J,J,1,1;P,P,1,1;Q,Q,1,1;
R,R,1,1;S,S,1,1;N,J,0,1;
P,Q,0,1;H,P,0,1;
N,N,1,1;L,L,1,1;
Y,Y,1,1;F,F,1,1;Y,Y,1,1;P,P,1,0;
Y,Y,1,1;P,P,1,0;H,H,1,1;H,H,1,1;
S,S,1,1;P,P,1,1;J,J,1,1;K,K,1,1;
F,F,1,1;N,N,1,1;
R,R,1,1;F,F,1,1;T,T,1,1;
H,H,1,1;J,J,1,1;S,S,1,1;

RESULTS: n=27, acc=93%, PU=0.85, PL=0.89, FU=0.78, FL=0.81",no,90,yes,50,2,100,1,100,3,100,4,100,1,100,2,100,"""shapes and colors!"""
6,1B,YC,1Bb,PT,no,30,yes,30,1,50,1,50,1,50,1,40,"ORDER: 4,2,4,3,3,2,4,3,2

H,H,1,0;R,R,1,0;S,S,1,0;
Q,Q,1,0;F,S,0,1;K,K,1,1;
N,N,1,0;P, ,0,1;Q,Q,1,1;Y, ,0,1;
S,S,1,1;J,J,1,1;
T,T,1,1;P,P,1,1;T,T,1,1;J,J,1,1;
L,L,1,1;Q,Q,1,0;J,J,1,0;
R,R,1,1;S,S,1,1;S,S,1,0;
P,P,1,1;N,N,1,1;
F,F,1,1;F,F,1,1;N,N,1,1;R,R,1,1;
L,F,0,1;F,L,0,1;H,H,1,1;
K,K,1,1;R,R,1,1;

RESULTS: n=27, acc=85%, PU=0.87, PL=0.85, FU=0.78, FL=0.74",no,30,yes,30,1,70,4,70,2,70,3,70,1,80,2,80,"""it's probably based on the object inside that makes something a blicket"""
7,1C,YC,1Bc,PT,no,60,no,40,1,100,2,100,1,20,2,30,"ORDER: 4,4,3,4,2,2,3,3,2

K,K,1,0;J,J,1,0;K,K,1,0;
J,J,1,1;R,R,1,1;K,K,1,1;
N,J,0,1;N,N,1,1;J,J,1,1;H,H,1,1;
P,P,1,1;L,L,1,0;R,R,1,1;N,N,1,0;
Y,Y,1,1;K,K,1,1;H,H,1,1;
S,S,1,0;L,L,1,1;R,R,1,0;Y,Y,1,1;
Y,Y,1,1;P,P,1,1;
N,N,1,1;R,R,1,1;
J,J,1,1;R,R,1,1;P,P,1,1;
R,R,1,1;N,N,1,1;R,R,1,1;
T,T,1,1;Q,Q,1,1;

RESULTS: n=27, acc=85%, PU=0.97, PL=0.96, FU=0.89, FL=0.85",yes,40,yes,40,3,100,2,50,4,80,1,80,1,100,3,,"""warm colors"""
8,1D,YC,1Bd,PT,yes,58,no,58,2,80,1,80,1,70,1,60,"ORDER: 2,2,2,3,4,3,4,3,4

J,J,1,0;P,P,1,0;N,N,1,0;
H,H,1,1;S,S,1,1;Y,Y,1,1;
R,R,1,0;Q,Q,1,0;
K,K,1,0;Q,Q,1,1;
Y,Y,1,1;J,J,1,1;
F,F,1,1;L,L,1,1;Q,Q,1,1;
T,T,1,1;P,P,1,1;Y,Y,1,1;Q,Q,1,1;
F,F,1,1;L,L,1,1;F,F,1,1;
L,L,1,1;Y,Y,1,1;S,S,1,1;F,F,1,1;
N,N,1,1;R, ,0,0;F,F,1,0;
K,K,1,0;T,T,1,0;L,L,1,1;H,H,1,0;

RESULTS: n=27, acc=70%, PU=0.96, PL=0.96, FU=0.89, FL=0.89",no,60,yes,60,4,80,3,80,1,80,2,80,1,80,2,60,"""objects that are associated with other objects that are blickets are also blickets"""
9,2A,PD,1Aa,GL,no,60,no,30,2,90,1,90,2,90,2,90,"ORDER: 2,4,4,3,4,2,3,3,2

J,J,1,0;P,P,1,0;N,N,1,0;
L,L,1,1;N,N,1,0;S,S,1,0;
P,L,0,1;Q,Q,1,0;
Q,Q,1,1;Q,Q,1,1;T,T,1,1;L,L,1,1;
F,F,1,1;K,K,1,1;L,L,1,1;L,L,1,1;
T,T,1,1;T,T,1,1;Y,Y,1,0;
Y,Y,1,1;K,K,1,1;K,K,1,1;R,R,1,1;
F,F,1,1;L,L,1,1;
Y,Y,1,1;S,S,1,1;J,J,1,0;
S,S,1,1;Q,Q,1,1;F,F,1,1;
F,F,1,1;F,F,1,1;

RESULTS: n=27, acc=89%, PU=0.94, PL=0.96, FU=0.89, FL=0.93",no,65,yes,50,1,90,2,90,3,90,4,90,1,90,1,90,"""there's a smaller shape inside an object that determines if th eobject is a blicket, and non-primary colors seem to be blicket objects"""
10,2B,PD,1Ab,GL,no,35,yes,50,1,100,2,100,2,100,2,75,"ORDER: 3,2,4,4,4,3,3,2,2

Q,Q,1,0;T,T,1,0;P,P,1,0;
J,J,1,1;Y,Y,1,1;P,P,1,1;
L,L,1,1;Y,Y,1,1;K,K,1,1;
L,L,1,1;L,L,1,1;
F,F,1,1;P,K,0,1;R,R,1,0;T,T,1,1;
R,R,1,1;T,T,1,1;H,K,0,1;R,R,1,0;
Y,Y,1,1;F,F,1,1;R,R,1,1;Y,Y,1,1;
L,L,1,1;J,J,1,1;Y,Y,1,1;
L,L,1,1;T,T,1,1;H,H,1,1;
S,S,1,1;H,H,1,1;
F,F,1,1;P,P,1,1;

RESULTS: n=27, acc=93%, PU=0.94, PL=0.93, FU=0.78, FL=0.70",no,65,yes,35,2,100,4,100,1,100,3,100,1,100,1,100,"""matching shape (sharp vs rounded). What's on the inside (rounded shape). Green rounded square w/ yellow circle, orange cross + pink cone"""
11,2C,PD,1Ac,GL,yes,50,no,50,1,90,2,90,2,100,1,70,"ORDER: 2,3,4,2,3,3,2,4,4

P,P,1,0;L,L,1,0;N,N,1,0;
S,S,1,1;S,S,1,1;S,S,1,0;
H,H,1,1;J,J,1,1;
T,T,1,0;F,F,1,1;R,R,1,0;
K,K,1,1;J,J,1,0;Y,Y,1,0;J,J,1,1;
H,H,1,1;S,S,1,1;
J,H,0,1;S,J,0,1;S,S,1,1;
S,S,1,1;Y,Y,1,1;L,L,1,1;
T,S,0,1;J,J,1,1;
S,S,1,1;P,P,1,1;T,T,1,1;T,T,1,0;
S,S,1,1;J,J,1,1;T,P,0,1;N,N,1,0;

RESULTS: n=27, acc=78%, PU=0.84, PL=0.85, FU=0.67, FL=0.67",no,55,yes,55,3,90,1,90,4,90,2,90,1,95,1,90,"""an object is a blicket if it turns on / activates the blinky rectangle"""
12,2D,PD,1Ad,GL,yes,80,no,80,2,100,1,100,2,100,1,100,"ORDER: 4,4,3,2,2,3,4,3,2

Y,Y,1,0;S,S,1,0;H,H,1,0;
N,N,1,1;R,R,1,1;S,S,1,1;
L,L,1,1;P,P,1,1;R,R,1,1;Q,Q,1,1;
S,S,1,1;K,K,1,1;T,T,1,1;Y,Y,1,1;
H,H,1,1;K,K,1,1;N,N,1,1;
H,H,1,1;Y,Y,1,1;
K,K,1,1;S,S,1,1;
K,K,1,1;Q,Q,1,1;P,P,1,1;
L,L,1,1;T,T,1,1;N,N,1,1;J,J,1,1;
N,N,1,1;S,S,1,1;L,L,1,1;
Q,Q,1,1;L,L,1,1;

RESULTS: n=27, acc=100%, PU=1.00, PL=1.00, FU=1.00, FL=1.00
",no,75,yes,60,4,75,3,90,2,85,1,100,1,100,1,95,"""interior shape with a pointed triangular edge, also interior shape must be some shade of purple"""
13,2A,YC,1Ba,GL,no,50,no,75,2,100,1,100,2,90,2,80,"ORDER: 2,4,3,3,2,2,4,3,4

S,S,1,0;L,L,1,0;R,R,1,0;
N,N,1,1;N,N,1,1;T,T,1,1;
H,H,1,1;K,K,1,1;
Y,Y,1,1;T,T,1,1;K,K,1,1;K,K,1,1;
P,H,0,0;T,T,1,1;R,R,1,1;
T,T,1,1;N,N,1,1;J,J,1,1;
Q,Q,1,1;S,S,1,1;
F,Q,0,1;H,H,1,1;
T,T,1,1;F,F,1,1;P,P,1,1;N,N,1,1;
Y,Y,1,1;H,H,1,1;F,F,1,1;
F,F,1,1;F,F,1,1;J,J,1,1;H,H,1,1;

RESULTS: n=27, acc=96%, PU=0.91, PL=0.93, FU=0.78, FL=0.81

",no,40,no,55,2,100,1,100,3,100,4,100,1,100,2,95,"""an object is considered a blicket if it is not a typical polygon and has been seen with a shape that is also not a polygon"""
14,2B,YC,1Bb,GL,no,50,no,70,1,100,2,100,2,0,2,0,"ORDER: 2,3,3,3,2,4,4,2,4

S,S,1,0;H,H,1,0;Y,Y,1,0;
J,J,1,1;N,N,1,1;S,S,1,1;
T,T,1,1;R,R,1,1;
N,N,1,1;N,N,1,1;L,L,1,1;
N,N,1,1;K,K,1,1;Y,Y,1,1;
J,J,1,1;S,N,0,1;R,R,1,0;
P,P,1,1;J,J,1,1;
L,J,0,1;P,P,1,0;K,K,1,1;R,R,1,1;
F,J,0,1;F,F,1,1;F,F,1,1;Q,Q,1,1;
F,F,1,1;N,N,1,1;
S,N,0,1;S,Q,0,0;Q,Q,1,1;R,R,1,1;

RESULTS: n=27, acc=89%, PU=0.85, PL=0.81, FU=0.56, FL=0.44
",yes,70,no,70,1,100,4,100,2,100,3,100,1,100,2,100,"""if the object has been shown with or is the object that activated a response"""
15,2C,YC,1Bc,GL,yes,80,yes,60,1,90,2,95,1,50,2,50,"ORDER: 3,3,4,3,2,4,2,2,4

P,P,1,0;N,N,1,0;H,H,1,0;
J,J,1,1;H,H,1,1;Y,Y,1,1;
L,L,1,1;Q,H,0,1;P,Q,0,1;
N,J,0,1;R,R,1,1;H,H,1,1;
R,R,1,1;Q,Q,1,1;R,R,1,1;L,L,1,1;
J,J,1,1;S,S,1,1;Y,Y,1,1;
H,J,0,1;Q,Q,1,1;
K,K,1,1;Y,Y,1,1;T,T,1,1;J,J,1,1;
J,J,1,1;K,K,1,1;
L,L,1,1;S,S,1,1;
F,F,1,1;Y,Y,1,1;F,F,1,1;J,J,1,1;

RESULTS: n=27, acc=100%, PU=0.83, PL=0.85, FU=0.67, FL=0.70",yes,80,no,80,3,95,2,95,4,95,1,95,1,90,2,90,"""how many characteristics it has in common with either a previously-seen blicket or characteristics later associated with a preivously-seen blicket"""
16,2D,YC,1Bd,GL,no,60,no,60,2,100,1,95,1,10,1,10,"ORDER: 4,2,3,4,2,3,2,4,3

F,F,1,0;J,J,1,0;F,F,1,0;
P,P,1,1;R,R,1,0;Y,Y,1,1;
K,K,1,1;R,R,1,1;L,L,1,1;L,L,1,1;
Y,R,0,1;F,F,1,0;
Y,Y,1,1;R,R,1,1;J,J,1,1;
Y,R,0,1;Y,Y,1,1;Y,J,0,1;H,H,1,0;
Y,P,0,1;H,H,1,1;
Q,Q,1,1;K,K,1,1;F,F,1,1;
P,P,1,1;N,N,1,1;
Y,Y,1,1;K,K,1,1;N,N,1,1;H,H,1,1;
J,H,0,0;N,N,1,1;P,P,1,1;

RESULTS: n=27, acc=89%, PU=0.80, PL=0.81, FU=0.56, FL=0.59",no,40,no,40,4,55,3,50,1,60,2,55,1,100,2,35,"""An object is a blinker if the bottom isn't curved and the shape that is shown has fewer than 5 sides"""
17,A1,PD,2Aa,PT,yes,45,no,50,2,95,1,95,1,95,1,85,"ORDER: 3,3,3,2,4,2,4,4,2

S,S,1,0;F,F,1,0;N,N,1,0;
K,K,1,1;K,K,1,1;L,L,1,1;
Y,Y,1,1;T,T,1,1;T,T,1,1;
Q,Q,1,1;S,S,1,1;F,F,1,1;
Y,Y,1,1;Y,Y,1,1;T,T,1,1;
S,S,1,1;N,N,1,1;
F,F,1,1;J,J,1,0;R,R,1,1;R,R,1,1;
R,R,1,1;S,S,1,1;
L,L,1,1;L,L,1,1;P,P,1,1;S,S,1,1;
Y,Y,1,1;R,R,1,1;Y,Y,1,1;K,K,1,1;
Y,Y,1,1;N,N,1,1;

RESULTS: n=27, acc=96%, PU=1.00, PL=1.00, FU=1.00, FL=1.00
",no,50,yes,50,1,80,2,80,3,80,4,80,2,85,2,85,"""the different shape of the blicket or the different shape inside"""
18,B1,PD,2Ab,PT,yes,60,yes,50,1,100,2,100,1,100,1,100,"ORDER: 4,4,2,2,3,4,3,2,3

P,P,1,0;Q,Q,1,0;S,S,1,0;
L,L,1,1;K,K,1,1;L,L,1,1;
P,R,0,1;P,P,1,1;S,S,1,1;T,T,1,1;
L,L,1,0;S,S,1,1;P,P,1,1;L,L,1,1;
N,N,1,1;J,J,1,1;
Y,Y,1,1;H,H,1,1;
Y,Y,1,1;R,R,1,1;Q,Q,1,1;
H,Y,0,1;F,H,0,1;R,R,1,1;H,H,1,1;
Y,Y,1,1;S,S,1,1;S,S,1,0;
S,S,1,1;P,P,1,1;
Q,Q,1,1;N,N,1,1;K,K,1,1;

RESULTS: n=27, acc=93%, PU=0.92, PL=0.89, FU=0.78, FL=0.70",no,65,yes,50,2,100,4,100,1,100,3,100,2,100,2,90,"""polygons with flat edges touching detector / inside shapes have edges / color (red/blue)"""
19,C1,PD,2Ac,PT,no,78,yes,70,1,100,2,100,1,10,2,80,"ORDER: 2,3,3,2,4,4,3,2,4

F,F,1,0;L,L,1,0;S,S,1,0;
L,L,1,1;N,N,1,1;R,R,1,0;
N,N,1,0;H,H,1,1;
N,N,1,1;H,H,1,1;N,N,1,1;
Y,Y,1,1;T,N,0,1;P,P,1,1;
F,F,1,1;S,S,1,1;
S,S,1,1;F,F,1,1;S,S,1,1;S,S,1,1;
T,T,1,0;N,N,1,1;T,T,1,1;H,H,1,1;
P,P,1,1;F,F,1,1;R,R,1,1;
L,L,1,1;Q,Q,1,1;
R,P,0,1;L,L,1,1;S,S,1,1;J,J,1,1;

RESULTS: n=27, acc=93%, PU=0.94, PL=0.93, FU=0.78, FL=0.74",no,79,yes,75,3,100,1,100,4,100,2,100,2,75,2,75,"""I think a blicket is any object that activates the blicket detector (even combined with another) so when the pentagon activated the detector, I assumed that the thing that goes with the pentagon is by association a blicket"""
20,D1,PD,2Ad,PT,no,75,no,75,1,50,2,50,1,80,1,80,,no,90,yes,90,3,50,4,50,2,100,1,100,2,100,2,100,"""an object is a blicket if it is actived upon some sort of specific input"""
21,A1,YC,2Ba,PT,no,90,no,80,2,100,1,100,1,80,1,20,"ORDER: 4,2,2,4,3,4,3,3,2

K,K,1,0;L,L,1,0;P,P,1,0;
P,P,1,1;F,F,1,1;L,L,1,1;
F,F,1,1;J,J,1,1;F,F,1,1;J,J,1,1;
R,P,0,1;H,L,0,0;
F,F,1,1;Y,Y,1,1;
H,H,1,0;S,S,1,0;R,R,1,1;H,H,1,0;
Y,Y,1,1;L,L,1,1;R,R,1,1;
K,K,1,1;K,K,1,1;N,L,0,1;Q,Q,1,1;
T,T,1,1;Q,Q,1,1;Y,Y,1,1;
S,S,1,1;H,H,1,1;F,F,1,1;
T,T,1,1;H,H,1,1;

RESULTS: n=27, acc=85%, PU=0.86, PL=0.89, FU=0.78, FL=0.78",no,90,no,80,2,100,1,100,3,80,4,80,2,70,1,70,"""the outside shape, not the inside shape"""
22,B1,YC,2Bb,PT,no,90,yes,55,1,100,2,100,1,100,1,90,"ORDER: 2,3,3,2,2,4,4,4,3

H,H,1,0;K,K,1,0;T,T,1,0;
J,T,0,0;L,L,1,0;R,R,1,1;
F,F,1,1;P,P,1,1;
F,F,1,1;R,R,1,1;H,H,1,1;
H,H,1,1;K,K,1,1;L,L,1,0;
Y,H,0,1;P,P,1,1;
F,F,1,1;F,F,1,1;
Q,Q,1,1;Y,Y,1,1;P,P,1,1;Q,Q,1,1;
K,K,1,1;H,Y,0,1;Y,H,0,1;K,K,1,1;
H,H,1,1;R,R,1,1;R,R,1,1;L,L,1,1;
K,H,0,1;F,F,1,1;K,K,1,1;

RESULTS: n=27, acc=96%, PU=0.85, PL=0.85, FU=0.67, FL=0.67
",yes,50,no,50,2,100,1,100,3,100,4,100,2,100,1,90,"""I think the larger object would activate the blicket detector since it is in a blicket - the smaller object inside of it could by association be a blicket, but I'm unsure of whether thisis the case as its my own assumption"""
23,C1,YC,2Bc,PT,no,30,no,50,1,100,2,100,1,100,2,50,"ORDER: 4,3,3,4,2,3,4,2,2

Q,Q,1,0;T,T,1,0;K,K,1,0;
L,L,1,1;Q,Q,1,1;N,N,1,1;
F,F,1,1;H,H,1,1;J,J,1,1;N,N,1,1;
Q,Q,1,0;T,T,1,1;Q,Q,1,1;
R,R,1,1;Q,Q,1,1;Q,Q,1,0;
K, ,0,1;Q, ,0,1;S,Q,0,1;T,T,1,0;
H,H,1,1;L,L,1,1;
T,T,1,1;J,J,1,1;H,H,1,1;
Y,Y,1,1;P,P,1,1;K,K,1,0;F,F,1,1;
T,T,1,1;F,F,1,1;
P,P,1,1;J,J,1,1;

RESULTS: n=27, acc=85%, PU=0.92, PL=0.89, FU=0.89, FL=0.85",no,50,no,50,3,100,2,75,4,100,1,100,2,100,1,50,"""I think it is the shape that makes it a blicket"""
24,D1,YC,2Bd,PT,yes,25,no,25,2,100,1,100,1,100,2,25,"ORDER: 2,2,2,3,4,4,3,3,4

N,N,1,0;F,F,1,0;N,N,1,0;
P,P,1,1;Y,Y,1,1;L,L,1,1;
R,R,1,1;P,P,1,1;
L,L,1,1;Y,Y,1,0;
F,F,1,1;T,T,1,1;
L,L,1,1;N,N,1,1;H,H,1,1;
K,K,1,1;N,N,1,1;K,K,1,1;N,N,1,1;
J,J,1,0;Y,Y,1,1;L,L,1,1;H,H,1,1;
H,H,1,1;Q,Q,1,0;J,J,1,1;
L,L,1,1;S,S,1,1;P,P,1,1;
L,P,0,1;H,H,1,1;Q,Q,1,0;F,F,1,1;

RESULTS: n=27, acc=85%, PU=0.97, PL=0.96, FU=0.89, FL=0.85",yes,25,no,25,4,100,3,100,1,100,2,100,2,100,1,100,"""I think the small shape inside the large shape makes the object a blicket"""
25,A2,PD,2Aa,GL,no,50,no,50,2,100,1,100,2,100,2,50,"ORDER: 2,3,4,4,2,4,3,3,2

T,T,1,0;Q,Q,1,0;L,L,1,0;
Y,Y,1,0;Y,Y,1,0;N,N,1,0;
R,R,1,1;P,P,1,1;
S,S,1,0;H,H,1,1;L,L,1,1;
J,H,0,1;K,K,1,1;P,P,1,1;Q,Q,1,1;
Y,J,0,1;R,Y,0,1;Y,Y,1,1;H,H,1,0;
S,H,0,1;P,P,1,1;
J,J,1,1;N,N,1,0;P,P,1,1;P,P,1,1;
K,J,0,1;Q,Q,1,1;Y,Y,1,1;
K,P,0,0;Q,S,0,1;S,S,1,1;
Q,Q,1,1;S,S,1,1;

RESULTS: n=27, acc=85%, PU=0.75, PL=0.74, FU=0.44, FL=0.41",no,50,no,50,1,100,2,100,3,100,4,100,2,100,5,50,"""either being turquoise or a pentagon or a green ellipse"""
26,B2,PD,2Ab,GL,no,60,no,40,1,100,2,100,2,100,2,60,"ORDER: 3,4,2,3,2,4,4,3,2

K,K,1,0;R,R,1,0;J,J,1,0;
T,T,1,1;K,K,1,1;N,N,1,1;
P,P,1,1;F,F,1,1;L,L,1,1;
S,S,1,1;Q,Q,1,1;Y, ,0,1;R,K,0,1;
F,F,1,1;L,L,1,1;
H,H,1,1;Y,Y,1,1;Y,Y,1,1;
S,S,1,1;Q,Q,1,0;
Q,Q,1,0;S,S,1,1;Q,Q,1,1;R,R,1,1;
S,S,1,1;P,P,1,1;Q,Q,1,1;K,K,1,1;
H,H,1,1;S,S,1,1;T,T,1,1;
P,P,1,1;H,H,1,1;

RESULTS: n=27, acc=93%, PU=0.94, PL=0.93, FU=0.89, FL=0.85",yes,30,no,50,2,95,4,80,1,85,3,100,2,95,2,75,"""objects with cool, green/blue colors maybe?"""
27,C2,PD,2Ac,GL,yes,60,no,60,1,100,2,100,2,100,1,100,"ORDER: 3,2,2,4,4,4,3,3,2

N,N,1,0;Q,Q,1,0;K,K,1,0;
H,H,1,0;H,H,1,1;N,N,1,1;
Y,Y,1,0;P,P,1,1;K,K,1,0;
Q,Q,1,1;H,H,1,1;
P,P,1,1;S,S,1,1;
Q,Q,1,1;K,K,1,1;J,J,1,1;J,J,1,1;
T,T,1,1;J,J,1,0;S,S,1,0;S,S,1,1;
F,F,1,1;H,H,1,1;R,R,1,1;L,L,1,1;
L,L,1,1;L,L,1,1;Q,Q,1,1;
H,H,1,1;L,L,1,1;R,R,1,0;
K,K,1,1;P,P,1,1;

RESULTS: n=27, acc=81%, PU=1.00, PL=1.00, FU=1.00, FL=1.00",yes,85,no,80,3,50,1,50,4,60,2,80,2,90,2,90,"""I think an object is a blicket if it activates a blicket detector, or is associated with an object that activates it (it appears on that object)"""
