id,train1,test1,train2,test2,test1_object1,test1_object1_confidence,test1_object2,test1_object2_confidence,test1_memCheck1,test1_memCheck1_confidence,test1_memCheck2,test1_memCheck2_confidence,test1_memCheck_base,test1_memCheck_base_confidence,test1_memCheck_feature,test1_memCheck_feature_confidence,distractor_output,test2_object1,test2_object1_confidence,test2_object2,test2_object2_confidence,test2_memCheck1,test2_memCheck1_confidence,test2_memCheck2,test2_memCheck2_confidence,test2_memCheck3,test2_memCheck3_confidence,test2_memCheck4,test2_memCheck4_confidence,test2_memCheck_base,test2_memCheck_base_confidence,test2_memCheck_feature,test2_memCheck_feature_confidence,open-ended definition
55,2Bc,PT,C1,YC,no,50,no,95,1,95,2,95,1,95,2,95,"ORDER: 4,4,2,2,3,3,4,2,3

J,J,1,0;H,H,1,0;Q,Q,1,0;
L,L,1,1;Q,Q,1,1;N,N,1,1;
P,P,1,1;L,L,1,1;F,F,1,0;N,N,1,1;
F,F,1,1;F,F,1,1;H,H,1,1;P,P,1,0;
S,S,1,1;P,P,1,1;
P,P,1,1;N,N,1,1;
N,N,1,1;Q,Q,1,1;J,J,1,1;
Q,Q,1,1;T,T,1,1;N,N,1,1;
P,P,1,1;N,N,1,1;Q,Q,1,1;L,L,1,1;
H,H,1,1;T,T,1,1;
H,H,1,1;T,T,1,1;P,P,1,0;

RESULTS: n=27, acc=89%, PU=1.00, PL=1.00, FU=1.00, FL=1.00",no,90,no,85,3,95,2,95,4,95,1,95,2,100,1,95,"""an object is a blicket if it makes the blicket detector flash/beep"""
56,2Bd,PT,D1,YC,yes,80,no,80,2,100,1,100,1,100,2,100,"ORDER: 2,4,4,2,3,4,3,2,3

N,N,1,0;F,F,1,0;T,T,1,0;
Y,Y,1,1;L,L,1,1;Y,Y,1,1;
J,J,1,1;L,L,1,1;
Q,Q,1,1;R,R,1,1;P,P,1,1;P,P,1,1;
Q,Q,1,1;H,H,1,0;P,P,1,1;J,J,1,1;
Y,Y,1,1;T,T,1,1;
H,H,1,1;H,H,1,1;P,P,1,1;
Q,Q,1,1;Y,Y,1,1;R,R,1,1;S,S,1,1;
Q,Q,1,1;J,J,1,1;K,K,1,1;
J,J,1,1;S,S,1,1;
Q,Q,1,1;Y,Y,1,1;N,N,1,1;

RESULTS: n=27, acc=96%, PU=1.00, PL=1.00, FU=1.00, FL=1.00
",no,75,yes,40,4,85,3,80,1,60,2,60,2,100,2,50,"""It is based on the bottom having a straight edge of the outer shape, but must then also correspond with the inner shape. Honestly, I think that does not hold up though, now that I have to write it down."""
57,2Aa,GL,A2,PD,yes,40,no,40,2,100,1,100,1,85,1,40,"ORDER: 4,4,2,3,2,3,2,3,4

F,F,1,0;R,R,1,0;H,H,1,0;
F,F,1,1;K,K,1,1;Y,Y,1,1;
J,F,0,1;F,J,0,1;F,K,0,1;T,T,1,1;
K,K,1,1;Q,Q,1,1;Y,Y,1,1;K,K,1,1;
Q,Q,1,1;T,T,1,1;
S,S,1,1;S,S,1,1;F,F,1,1;
P,P,1,1;R,R,1,1;
Q,Q,1,1;H,H,1,1;J,J,1,1;
Y,Y,1,1;S,S,1,1;
N,N,1,1;K,K,1,1;H,H,1,1;
Q,K,0,1;L,L,1,1;R,R,1,1;T,T,1,1;

RESULTS: n=27, acc=100%, PU=0.89, PL=0.85, FU=0.78, FL=0.70",no,40,no,40,1,100,2,100,3,100,4,100,2,85,2,5,"""Definitely if it was the object that made the black bar flash & sound in the first video, but not sure the ""inside"" shapes affect blickets now"""
58,2Ab,GL,B2,PD,no,60,yes,60,1,100,2,100,2,100,2,80,"ORDER: 3,4,4,2,2,3,4,3,2

K,K,1,0;L,L,1,0;Q,Q,1,0;
T,T,1,1;J,J,1,1;S,S,1,0;
R,R,1,1;S,S,1,0;Q,Q,1,1;
K,K,1,1;R,R,1,0;H,H,1,1;R,R,1,1;
J,J,1,1;N,H,0,0;L,L,1,1;L,L,1,1;
J,J,1,1;N,N,1,1;
Q,Q,1,1;L,L,1,0;
L,L,1,0;K,K,1,0;Y,Y,1,1;
T,T,1,1;T,T,1,0;K,K,1,1;Q,Q,1,1;
Q,Q,1,1;J,J,1,1;H,H,1,1;
T,T,1,1;T,T,1,1;

RESULTS: n=27, acc=74%, PU=0.97, PL=0.96, FU=0.89, FL=0.85",yes,50,no,75,2,100,4,75,1,75,3,100,2,100,2,60,"""The 'outside' object and its corresponding 'inside' object."" "
59,2Ac,GL,C2,PD,yes,50,no,50,1,100,2,200,1,50,1,50,"ORDER: 3,3,2,3,4,4,2,2,4

S,S,1,0;L,L,1,0;Y,Y,1,0;
L,L,1,1;K,K,1,1;L,L,1,1;
F,F,1,1;Q,Q,1,1;H,H,1,1;
F,F,1,1;F,F,1,1;R,R,1,0;
F,F,1,1;R,R,1,1;
Q,Q,1,1;H,H,1,1;F,F,1,1;
K,K,1,1;T,T,1,1;S,S,1,0;J,J,1,1;
Q,Q,1,1;J,J,1,1;T,T,1,1;K,K,1,1;
N,N,1,1;K,K,1,1;
L,L,1,1;K,K,1,1;
Y,Y,1,1;R,R,1,1;K,K,1,1;H,H,1,1;

RESULTS: n=27, acc=93%, PU=1.00, PL=1.00, FU=1.00, FL=1.00",no,50,no,50,3,100,1,90,4,90,2,100,2,50,2,50,"""Maybe object on the left would make a blicket"""
60,2Ad,GL,D2,PD,no,70,no,100,2,100,1,100,2,100,1,100,"ORDER: 4,3,3,4,2,3,2,4,2

T,T,1,0;Y,Y,1,0;T,T,1,0;
P,P,1,0;J,J,1,1;Y,Y,1,1;
R,P,0,1;R,R,1,1;K,K,1,1;Q,Q,1,1;
Q,Q,1,1;H,H,1,1;Y,Y,1,1;
L,L,1,1;Q,Q,1,1;K,K,1,1;
T,T,1,1;F,F,1,1;H,H,1,1;H,H,1,1;
N,H,0,1;Q,Q,1,0;
S,S,1,0;S,S,1,1;Q,Q,1,0;
P,P,1,1;P,P,1,1;
T,P,0,1;R,R,1,1;P,P,1,1;K,K,1,0;
P,P,1,1;Y,Y,1,0;

RESULTS: n=27, acc=81%, PU=0.89, PL=0.89, FU=0.67, FL=0.63
",no,80,no,50,4,80,2,70,1,70,3,100,2,100,4,50,"""Smooth on the outside, does not have a yellow circle in its interior"""
61,2Ba,GL,A2,YC,no,80,no,80,2,100,1,100,2,100,2,80,"ORDER: 2,4,2,3,3,3,4,2,4

K,K,1,0;L,L,1,0;H,H,1,0;
J,J,1,1;P,P,1,1;T,T,1,1;
P,P,1,1;H,H,1,1;
H,H,1,1;H,H,1,1;R,R,1,1;K,K,1,1;
S,S,1,1;F,F,1,1;
F,F,1,0;K,K,1,1;N,N,1,1;
S,S,1,1;L,L,1,1;Y,Y,1,1;
S,S,1,1;R,R,1,1;S,S,1,1;
L,L,1,1;K,K,1,1;H,H,1,1;L,L,1,1;
H,H,1,1;R,R,1,1;
R,R,1,1;R,R,1,1;H,H,1,1;L,L,1,1;

RESULTS: n=27, acc=96%, PU=1.00, PL=1.00, FU=1.00, FL=1.00",no,90,no,98,2,100,1,100,3,100,4,100,2,100,1,80,"""If it's a circle or pentagon"" "
62,2Bb,GL,B2,YC,no,50,no,60,1,90,2,90,2,60,2,60,"ORDER: 2,3,2,4,3,4,4,3,2

Y,Y,1,0;K,K,1,0;N,N,1,0;
H,H,1,1;T,T,1,1;Q,Q,1,1;
P,Q,0,1;P,P,1,1;
Y,K,0,1;S,T,0,1;K,Q,0,1;
N,N,1,1;J,J,1,1;
Q,Q,1,1;Y,Y,1,1;N,N,1,1;H,H,1,1;
K,K,1,1;K,K,1,1;S,S,1,0;
J,J,1,1;N,N,1,1;L,L,1,1;F,F,1,1;
J,J,1,1;R,R,1,1;K,K,1,0;H,H,1,1;
K,K,1,1;T,T,1,1;K,K,1,1;
F,J,0,1;N,N,1,1;

RESULTS: n=27, acc=93%, PU=0.78, PL=0.81, FU=0.67, FL=0.74
",no,55,yes,45,1,60,3,30,2,70,4,30,2,70,1,70,"""Task 3 needed to be either round or have a circle inside. Task 1 needed to be a pentagon or have [a particular shape] inside"""
63,2Bc,GL,C2,YC,yes,90,no,90,1,100,2,100,1,100,2,100,"ORDER: 3,4,2,3,4,3,2,4,2

H,H,1,0;S,S,1,0;R,R,1,0;
L,L,1,1;J,J,1,1;L,L,1,0;
R,L,0,1;R,R,1,1;K,K,1,1;
H,H,1,1;T,T,1,1;H,H,1,1;N,N,1,1;
F,F,1,1;P,P,1,1;
J,J,1,1;J,J,1,1;S,S,1,1;
L,L,1,1;F,F,1,1;T,T,1,1;Y,Y,1,1;
S,S,1,1;R,R,1,1;S,S,1,1;
P,P,1,1;Q,Q,1,1;
P,P,1,1;H,H,1,1;J,J,1,1;K,K,1,1;
T,T,1,1;T,T,1,1;

RESULTS: n=27, acc=100%, PU=0.96, PL=0.96, FU=0.89, FL=0.89",no,80,yes,90,3,100,2,100,4,100,1,100,2,100,4,100,"""An object that is brightly coloured and more likely to be a warm colour"""
64,2Bd,GL,D2,YC,no,100,yes,100,2,100,1,100,2,100,1,100,"ORDER: 2,3,4,4,3,2,2,3,4

R,R,1,0;Q,Q,1,0;K,K,1,0;
R,R,1,1;L,L,1,1;T,T,1,1;
N,N,1,1;P,P,1,1;
R, ,0,1;F, ,0,1;L, ,0,0;
Q,Q,1,0;N,N,1,1;K,K,1,1;Y,Y,1,1;
H,H,1,1;R,R,1,1;F,F,1,1;K,K,1,1;
P,P,1,1;S,S,1,1;R,R,1,1;
N,N,1,1;R,R,1,1;
K,K,1,1;Y,Y,1,1;
H,H,1,1;N,N,1,1;R,R,1,1;
K,K,1,0;Y,Y,1,1;J,J,1,1;P,P,1,1;

RESULTS: n=27, acc=89%, PU=0.89, PL=0.89, FU=0.89, FL=0.89
",no,0,yes,5,1,0,4,0,2,5,3,0,2,100,2,5,"""I do not think there are any specific properties that make something a blicket"""
65,1A,PD,Aa1,PT,yes,80,no,50,2,90,1,95,1,100,1,100,"ORDER: 2,4,4,2,4,3,2,3,3

J,J,1,0;S,S,1,0;J,J,1,0;
K,K,1,0;H,H,1,0;J,J,1,1;
J,J,1,1;N,N,1,1;
P,P,1,0;R,R,1,0;J,J,1,1;F,F,1,1;
J,J,1,1;R,R,1,1;K,K,1,1;L,L,1,1;
Q,Q,1,1;Y,Y,1,1;
Y,Y,1,1;S,Y,0,0;Y,H,0,1;H,Y,0,1;
K,K,1,1;T,T,1,1;J,J,1,1;
R,R,1,1;Q,Q,1,0;
R,R,1,1;Y,Y,1,1;Y,Y,1,1;
S,S,1,1;Y,Y,1,1;K,K,1,1;

RESULTS: n=27, acc=85%, PU=0.92, PL=0.89, FU=0.89, FL=0.85",yes,90,yes,60,1,100,2,100,3,100,4,100,1,100,1,100,"""shape of the object- it needs to have sharp angles."""
66,1B,PD,Ab1,PT,no,100,yes,100,2,100,2,100,1,100,1,100,"ORDER: 3,2,3,4,4,2,4,2,3

F,F,1,0;N,N,1,0;T,T,1,0;
Q,F,0,1;F,Q,0,0;Y,N,0,1;
P,P,1,1;T,T,1,0;Q,Q,1,1;
N,N,1,1;Y,Q,0,1;
J,N,0,0;L,L,1,1;N,P,0,1;
K,K,1,1;K,K,1,1;J,J,1,1;H,H,1,1;
T,P,0,1;K,L,0,1;L,K,0,1;P,L,0,1;
J,J,1,1;S,S,1,1;
L,L,1,0;F,F,1,1;H,S,0,1;P,P,1,1;
P,P,1,1;J,L,0,1;
T,L,0,0;R,R,1,1;J,J,1,1;

RESULTS: n=27, acc=85%, PU=0.64, PL=0.63, FU=0.33, FL=0.33",no,15,no,10,2,100,4,100,1,100,3,100,1,100,2,60,"""When the shape and color are complimentary to the opposing color"""
67,1C,PD,Ac1,PT,no,30,yes,30,1,60,2,60,1,80,2,30,"ORDER: 2,3,4,2,2,3,4,4,3

J,J,1,0;T,T,1,0;J,J,1,0;
N,N,1,1;H, ,0,1;Q,Q,1,1;
H,H,1,1;H,H,1,1;
S,S,1,1;T,T,1,1;J,J,1,1;
J,J,1,1;Q,Q,1,0;J,J,1,1;J,J,1,1;
R,T,0,1;Y,Y,1,1;
T,T,1,0;N,N,1,1;
Y,Y,1,1;L,L,1,1;S,S,1,0;
N,N,1,0;T,T,1,1;Q,Q,1,1;K,K,1,1;
F,F,1,1;Y,Y,1,1;Q,Q,1,1;K,K,1,1;
T,T,1,1;F,F,1,1;Y,Y,1,0;

RESULTS: n=27, acc=81%, PU=0.94, PL=0.96, FU=0.89, FL=0.93",yes,33,no,35,3,40,1,50,4,33,2,60,1,80,1,40,"""It was given to us that the blicket was activated by a center shape and that shape had a correlation with the other so that was assumed to activate it."""
68,1D,PD,Ad1,PT,yes,90,yes,30,2,100,1,100,1,100,2,5,"ORDER: 2,4,4,2,3,4,2,3,3

F,F,1,0;S,S,1,0;K,K,1,0;
Y,Y,1,1;H,H,1,1;Q,Q,1,1;
P,P,1,1;Q,Q,1,1;
N,N,1,1;S,S,1,1;Y,Y,1,1;S,S,1,1;
K,K,1,0;K,K,1,1;N,N,1,1;P,P,1,1;
N,N,1,1;P,P,1,1;
P,P,1,1;K,K,1,1;P,P,1,1;
L,L,1,1;P,P,1,1;R,R,1,0;N,N,1,1;
R,R,1,0;F,F,1,1;
R,R,1,1;P,P,1,1;N,N,1,1;
T,T,1,1;Q,Q,1,1;J,J,1,1;

RESULTS: n=27, acc=89%, PU=1.00, PL=1.00, FU=1.00, FL=1.00",yes,80,yes,30,4,100,3,100,2,100,1,100,1,100,3,10,"""2) being convex (having places where it goes inwards) -> 2nd blicket 1st) rounded corners"""
69,1A,YC,Ba1,PT,no,50,no,80,2,100,1,100,1,100,1,30,"ORDER: 4,3,2,4,3,2,4,2,3

K,K,1,0;Y,Y,1,0;P,P,1,0;
Y,Y,1,1;Y,Y,1,1;N,N,1,1;
T, ,0,1;T,T,1,1;N, ,0,1;K,K,1,1;
Y,Y,1,1;P,P,1,1;N,N,1,0;
Q,Y,0,1;Q,Q,1,1;
N,N,1,1;N,N,1,0;N,N,1,1;N,N,1,1;
H,H,1,1;P,P,1,1;J,J,1,1;
H,H,1,1;R,R,1,1;
J, ,0,0;Q,J,0,1;H,H,1,1;R,R,1,0;
T,T,1,1;N,N,1,1;
J,J,1,1;K,K,1,1;K,K,1,1;

RESULTS: n=27, acc=85%, PU=0.83, PL=0.81, FU=0.67, FL=0.63",no,70,no,70,3,85,1,70,2,20,4,20,1,100,2,65,"""A blicket is an object that makes another object switch between two colors when they (the two objects) come in contact with each other"""
70,1B,YC,Bb1,PT,yes,53,no,70,1,53,1,53,1,70,2,50,"ORDER: 4,3,3,3,4,2,4,2,2

T,T,1,0;Q,Q,1,0;Y,Y,1,0;
K,K,1,0;P,P,1,1;Y,Y,1,1;
T,T,1,1;P,P,1,1;P,P,1,1;T,T,1,1;
K,K,1,0;F,F,1,1;Y,P,0,1;
S,F,0,1;R,R,1,1;Y,K,0,1;
F,F,1,1;J,J,1,1;H,H,1,1;
N,N,1,1;P,P,1,1;T,T,1,1;P,P,1,1;
S,S,1,1;Q,Q,1,1;
F,S,0,1;N,N,1,1;K,K,1,1;J,J,1,1;
N,N,1,1;Q,Q,1,1;
H,N,0,1;P,P,1,1;

RESULTS: n=27, acc=96%, PU=0.81, PL=0.81, FU=0.56, FL=0.56",no,30,yes,30,1,90,4,90,2,90,3,90,1,90,2,40,"""It's either a specific spahe or maybe the location of the shape. Something that makes the bar change colors. I'm still trying to determine this"""
71,1C,YC,Bc1,PT,yes,55,no,55,1,100,2,100,1,100,1,70,"ORDER: 4,3,3,4,2,2,3,4,2

T,T,1,0;S,S,1,0;L,L,1,0;
L,L,1,0;N,N,1,0;P,P,1,1;
N,N,1,1;T,T,1,1;R,R,1,1;Y,Y,1,1;
S,S,1,1;F,F,1,1;P,P,1,1;
H,H,1,1;Y,Y,1,1;N,N,1,1;
R,R,1,1;F,F,1,1;P,P,1,1;Y,Y,1,1;
K,K,1,1;S,S,1,1;
F,F,1,1;K,K,1,1;
S,S,1,1;T,T,1,1;F,F,1,1;
Y,Y,1,1;J,J,1,1;H,H,1,1;T,T,1,1;
F,F,1,1;F,F,1,1;

RESULTS: n=27, acc=100%, PU=1.00, PL=1.00, FU=1.00, FL=1.00
",no,60,yes,65,3,100,2,100,4,100,1,100,1,100,2,90,"""Has a straight bottom edge or is associated with an object that has a straight bottom edge. Any object combined w/ a blicket will activate the blicket board."""
72,1D,YC,Bd1,PT,yes,40,yes,30,2,95,1,95,1,100,2,80,"ORDER: 4,4,2,3,2,3,3,2,4

Y,Y,1,0;P,P,1,0;S,S,1,0;
H,H,1,1;K,K,1,1;F,F,1,1;
F,F,1,1;S,S,1,1;N,N,1,1;P,P,1,1;
H,H,1,1;Q,Q,1,1;Y,Y,1,1;J,J,1,1;
F,F,1,1;H,H,1,1;
L,H,0,0;J,H,0,1;T,J,0,1;
L,L,1,1;P,P,1,1;
R,L,0,1;K,K,1,1;J,J,1,1;
T,L,0,1;K,K,1,1;N,N,1,0;
N,L,0,1;R,R,1,0;
L,L,1,1;L,L,1,1;F,R,0,1;N,N,1,1;

RESULTS: n=27, acc=89%, PU=0.73, PL=0.74, FU=0.44, FL=0.44",no,25,no,5,4,95,3,95,1,95,2,95,1,50,2,50,"""If it has a flat edge w/ corners that touches the detector (not a corner, a whole edge)"""
73,2A,PD,Aa1,GL,no,50,no,40,2,40,1,40,2,80,2,60,"ORDER: 4,3,2,4,2,3,2,4,3

ORDER: 4,4,4,2,2,3,2,3,3

Q,Q,1,0;Y,Y,1,0;L,L,1,0;
Q,Q,1,1;J,J,1,1;P,P,1,1;
P,P,1,1;Y,J,0,1;N,N,1,1;R,L,0,0;
S,S,1,1;P,K,0,1;K,F,0,1;P,P,1,1;
L,L,1,1;R,R,1,0;K,K,1,1;T,T,1,1;
T,T,1,1;F,F,1,1;
R,R,1,1;Q,Q,1,0;
F,F,1,1;F,F,1,1;Y,Y,1,1;
S,S,1,1;K,K,1,1;
P,P,1,1;P,P,1,1;R,R,1,1;
S,S,1,1;Q,Q,1,1;S,S,1,1;

RESULTS: n=27, acc=89%, PU=0.89, PL=0.85, FU=0.78, FL=0.70
",no,60,yes,60,1,70,2,80,3,80,4,70,1,80,1,80,"""a shape that varies in color and may contain a shape of a different color inside"" "
74,2B,PD,Ab1,GL,no,60,no,60,1,100,2,100,2,100,2,50,"ORDER: 4,2,2,3,4,4,2,3,3

H,H,1,0;L,L,1,0;S,S,1,0;
S,S,1,1;H,H,1,1;H,H,1,1;
Y,Y,1,1;F,F,1,1;H,H,1,1;K,K,1,1;
L,L,1,1;H,H,1,1;
Q,Q,1,1;Q,Q,1,1;
J,H,0,1;H,H,1,1;T,T,1,1;
S,S,1,1;H,H,1,1;K,K,1,1;N,N,1,1;
J, ,0,0;R,S,0,1;S,R,0,1;J,J,1,1;
Q,Q,1,1;S,S,1,1;
L, ,0,1;J,J,1,1;Q,Q,1,1;
P,P,1,1;K,K,1,1;R,R,1,1;

RESULTS: n=27, acc=96%, PU=0.84, PL=0.81, FU=0.67, FL=0.63
",no,60,no,60,2,90,4,60,1,60,3,90,1,100,1,30,"""orange objects are blikets."""
75,2C,PD,Ac1,GL,yes,20,no,60,1,95,2,95,2,95,1,95,"ORDER: 3,3,4,2,2,2,4,4,3

T,T,1,0;Q,Q,1,0;H,H,1,0;
L,L,1,1;K,K,1,1;P,P,1,1;
R,R,1,1;F,F,1,1;T,T,1,1;
Y,Y,1,1;T,T,1,1;L,L,1,0;
H,H,1,1;K,K,1,1;L,L,1,1;R,R,1,1;
T,T,1,1;N,N,1,0;
H,H,1,1;K,K,1,1;
Y,Y,1,0;Y,Y,1,1;
R,R,1,1;K,K,1,1;R,R,1,1;T,T,1,1;
T,T,1,1;S,S,1,1;L,L,1,1;L,L,1,1;
Q,Q,1,1;K,K,1,1;J,J,1,1;

RESULTS: n=27, acc=89%, PU=1.00, PL=1.00, FU=1.00, FL=1.00",yes,75,yes,75,3,95,1,95,4,95,2,95,1,95,1,95,"""A blicket may be an object with an internal shape that is a shade of purple and an exterior shape that is symmetrical on the x and y axis and can be divided into 4 sections that are identical (although possibly oriented differently)"""
76,2D,PD,Ad1,GL,no,75,no,99,2,99,1,99,2,100,1,70,"ORDER: 3,4,2,4,2,4,2,3,3

Q,Q,1,0;N,N,1,0;T,T,1,0;
J,J,1,1;K,K,1,1;K,K,1,1;
S,S,1,0;R,R,1,1;H,H,1,1;
P,P,1,1;P,P,1,1;H,H,1,1;Y,Y,1,1;
N,N,1,1;P,P,1,1;
S,S,1,1;F,F,1,1;R,R,1,1;F,P,0,0;
H,H,1,1;R,R,1,1;
J,F,0,0;K,H,0,0;Y,R,0,1;S,Y,0,1;
Q,Q,1,1;R,R,1,1;
R,Q,0,1;Y,R,0,1;K,K,1,1;
Q,Q,1,0;N,N,1,1;H,H,1,1;

RESULTS: n=27, acc=81%, PU=0.79, PL=0.74, FU=0.67, FL=0.59
",no,90,no,60,4,100,3,100,2,100,1,100,1,100,1,85,"""has the correct shape/color - maybe adding/removing other shapes to it will change it and not activate it though"""
77,2A,YC,Ba1,GL,yes,75,no,90,2,90,1,90,2,90,2,60,"ORDER: 3,2,4,3,2,4,4,3,2

H,H,1,0;N,N,1,0;K,K,1,0;
J,H,0,0;Q,Q,1,0;Y,Y,1,1;
Q,Q,1,1;N,N,1,1;J,J,1,0;
Q,Q,1,1;T,T,1,1;
T,T,1,1;J,J,1,1;R,R,1,0;L,L,1,0;
Y,R,0,1;S,S,1,1;K,K,1,0;
K,K,1,1;T,T,1,1;
Q,Q,1,1;Q,Q,1,1;Q,Q,1,1;K,K,1,1;
T,T,1,1;N,N,1,1;J,J,1,1;L,L,1,1;
Y,Y,1,0;R,R,1,1;Q,Q,1,1;
K,K,1,1;J,J,1,1;

RESULTS: n=27, acc=81%, PU=0.96, PL=0.96, FU=0.89, FL=0.89",yes,75,no,75,2,75,1,75,3,90,4,90,1,90,2,90,"""Shape and colour of object and shape and colour of inner stuff associated with object (but unconfirmed)"""
78,2B,YC,Bb1,GL,yes,60,no,70,1,100,2,100,2,100,2,100,"ORDER: 4,4,3,2,2,2,3,4,3

Y,Y,1,0;R,R,1,0;J,J,1,0;
Q,Q,1,1;H,H,1,0;L,L,1,1;
Y,Y,1,1;K,K,1,1;F,L,0,1;L,L,1,0;
F,Y,0,1;L,F,0,1;R,L,0,1;F,L,0,0;
T,T,1,0;L,L,1,1;T,T,1,0;
R,R,1,1;H,H,1,1;
P,P,1,1;S,S,1,1;
P,P,1,1;J,J,1,1;
N,N,1,1;Y,Y,1,0;Q,Q,1,1;
K,K,1,1;L,L,1,1;T,T,1,1;Y,Y,1,1;
Q,Q,1,1;P,P,1,1;K,K,1,1;

RESULTS: n=27, acc=81%, PU=0.86, PL=0.81, FU=0.78, FL=0.70",yes,98,no,98,1,100,4,100,2,100,3,100,1,100,2,100,"""I think that the inner shape makes an object a blicket"""
79,2C,YC,Bc1,GL,no,100,yes,100,1,50,2,80,2,90,1,80,"ORDER: 2,3,2,2,3,3,4,4,4

N,N,1,0;F,F,1,0;S,S,1,0;
T,T,1,1;H,H,1,1;K,K,1,1;
K,K,1,1;J,J,1,1;
R,R,1,1;F,K,0,1;R,R,1,1;
T,T,1,1;N,N,1,1;
P,P,1,1;P,P,1,1;
P,P,1,1;S,S,1,1;H,H,1,1;
R,R,1,1;Y,T,0,1;T,H,0,0;
P,P,1,1;R,R,1,1;S,S,1,1;Y,Y,1,1;
P,P,1,1;F,F,1,1;Q,Q,1,1;Q,Q,1,1;
Q,P,0,1;K,K,1,1;Q,Q,1,0;H,H,1,1;

RESULTS: n=27, acc=93%, PU=0.86, PL=0.85, FU=0.67, FL=0.63
",yes,100,no,100,3,100,2,100,4,100,1,100,1,100,2,100,"""I think the cross shape that had the grey shape inside having the grey shape makes the object a blicket assuming that even if it is not onscreen it is inside the cross"""
80,2D,YC,Bd1,GL,no,98,no,62,2,100,1,100,2,100,1,97,"ORDER: 3,4,4,4,3,2,2,2,3

P,P,1,0;K,K,1,0;R,R,1,0;
H,H,1,1;P,P,1,1;N,N,1,1;
N,N,1,1;Y,Y,1,1;H,H,1,1;
F,F,1,1;H,H,1,1;L,L,1,1;N,N,1,1;
N,N,1,1;J,J,1,1;H,H,1,1;K,K,1,0;
J,J,1,1;L,L,1,1;J,J,1,1;H,H,1,1;
S,S,1,1;Q,Q,1,1;Q,Q,1,0;
H,H,1,1;Y,Y,1,1;
R,R,1,1;N,N,1,1;
P,P,1,1;Y,Y,1,1;
F,F,1,1;L,L,1,1;L,L,1,1;

RESULTS: n=27, acc=93%, PU=1.00, PL=1.00, FU=1.00, FL=1.00",no,80,no,20,4,100,3,100,1,100,2,100,1,100,2,95,"""A shape that has both rounded and straigh edges."""
81,A1,PD,Aa2,PT,no,65,no,65,2,99,1,99,1,100,1,70,"ORDER: 4,3,2,3,3,4,4,2,2

R,R,1,0;L,L,1,0;F,F,1,0;
N,N,1,1;Q,Q,1,0;Q,Q,1,0;
T,T,1,1;Y,Y,1,1;S,S,1,1;S,S,1,1;
R,R,1,1;L,L,1,1;Y,N,0,1;
J,L,0,1;T,J,0,0;
F,F,1,0;F,F,1,1;Y,Y,1,1;
S,N,0,1;L,S,0,1;J,Y,0,1;
H,N,0,1;T,H,0,1;Y,Y,1,1;F,F,1,1;
Q,Q,1,1;T,T,1,1;H,H,1,1;H,H,1,1;
Q,Q,1,1;Y,Y,1,1;
H,H,1,1;K,K,1,1;

RESULTS: n=27, acc=93%, PU=0.69, PL=0.70, FU=0.56, FL=0.56",no,60,yes,60,1,100,2,100,3,100,4,100,2,99,2,60,"""If it’s a convex polygon"""
82,B1,PD,Ab2,PT,yes,60,no,70,1,100,2,100,1,100,1,100,"ORDER: 4,3,3,3,4,2,2,4,2

K,K,1,0;S,S,1,0;Q,Q,1,0;
Y,Y,1,1;K,K,1,1;Q,Q,1,1;
Q,Q,1,1;Q,Q,1,0;K,K,1,1;Q,Q,1,1;
H,H,1,1;J,J,1,1;Q,K,0,1;
F,F,1,1;S,S,1,1;H,H,1,1;
Y,Y,1,1;R,R,1,1;F,F,1,1;
L,L,1,1;S,S,1,1;J,J,1,1;F,F,1,1;
H,H,1,0;L,L,1,1;
J,J,1,1;H,H,1,1;
R,R,1,1;H,H,1,1;L,L,1,1;Y,Y,1,1;
Y,Y,1,1;Q,Q,1,1;

RESULTS: n=27, acc=93%, PU=0.96, PL=0.96, FU=0.89, FL=0.89",no,90,yes,95,2,98,4,99,1,99,3,100,1,80,2,90,"""The shape that is in the object makes it a blicket e.g. the diamond in the square made the square a blicket"""